quarter,districtoccur,psa,race,gender,age_range,n_stopped,n_searched,n_arrested,n_contraband,n_frisked,n_intruded,quarter_dt,quarter_str,q_str,year
2015-01-01,09,1,asian,Female,<25,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,65+,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Male,45-54,4,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,55-64,3,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,65+,1,1,1,0,0,1,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,55-64,8,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,<25,9,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,65+,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,55-64,12,1,1,0,0,1,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Male,65+,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,latino,Male,45-54,1,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,<25,17,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,45-54,12,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Male,<25,4,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,<25,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Female,25-34,4,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Female,25-34,25,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,white,Male,45-54,33,0,0,0,1,1,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,25-34,7,1,0,0,1,1,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Male,45-54,27,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,asian,Female,35-44,3,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,black,Female,55-64,2,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
2015-01-01,09,1,other_race,Male,45-54,6,0,0,0,0,0,2015-01-01,2015-Q1,Q1,2015
