is_young,is_male,young_male,young_female,older_male,older_female,obscured_view,clock_minutes,dow,year,police_area,assigned_unit,is_summer,weight
1,0,0,1,0,0,0,1120,1,2022,12-3,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,1,1080,2,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1065,3,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1155,3,2022,12-3,12TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1105,4,2022,19-2,19TH DISTRICT,1,0.19585201841901145
0,0,0,0,0,1,1,1217,4,2022,22-1,HIGHWAY PATROL,0,0.1707430781376359
0,1,0,0,1,0,0,1093,5,2022,35-2,35TH DISTRICT,0,0.16624883638488155
1,1,1,0,0,0,0,1195,6,2022,12-1,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,1,1130,2,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1191,3,2022,12-3,COUNTER - TERROR OPERATIONS,0,0.23001868508567813
0,1,0,0,1,0,0,1070,3,2022,12-3,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1110,0,2022,12-3,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1055,3,2022,12-3,12TH DISTRICT,1,0.08029646286345592
0,1,0,0,1,0,0,1140,6,2022,12-2,12TH DISTRICT,1,0.20779646286345593
0,1,0,0,1,0,1,1229,4,2022,12-2,12TH DISTRICT,0,0.2369322653325917
1,0,0,1,0,0,0,1115,4,2022,12-3,12TH DISTRICT,0,0.273228561628888
1,1,1,0,0,0,1,1153,0,2022,12-3,12TH DISTRICT,0,0.3202964628634559
0,0,0,0,0,1,1,1230,0,2022,12-3,12TH DISTRICT,0,0.3077964628634559
1,1,1,0,0,0,0,1035,2,2022,12-2,12TH DISTRICT,0,0.2840354223216501
1,0,0,1,0,0,1,1120,2,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1165,4,2022,39-2,39TH DISTRICT,0,0.3139693023696288
1,0,0,1,0,0,0,1030,0,2022,14-1,14TH DISTRICT,1,0.08029646286345592
0,0,0,0,0,1,1,1210,3,2022,12-4,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1160,3,2022,12-4,12TH DISTRICT,0,0.16624883638488158
0,1,0,0,1,0,0,1078,3,2022,12-4,12TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1050,6,2022,12-4,12TH DISTRICT,0,0.32198627697169435
0,1,0,0,1,0,0,1031,3,2022,12-4,12TH DISTRICT,0,0.2816010413722415
1,1,1,0,0,0,1,1139,0,2022,12-4,12TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1110,2,2022,12-4,12TH DISTRICT,0,0.08029646286345592
1,0,0,1,0,0,1,1160,1,2022,12-4,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1180,3,2022,12-4,12TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1125,5,2022,12-3,12TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1054,4,2022,12-2,12TH DISTRICT,0,0.08029646286345592
0,0,0,0,0,1,1,1069,5,2022,39-2,39TH DISTRICT,0,0.08029646286345592
0,1,0,0,1,0,1,1125,0,2022,39-2,39TH DISTRICT,0,0.08029646286345592
1,1,1,0,0,0,0,1037,1,2022,39-2,39TH DISTRICT,0,0.26498782088814726
1,1,1,0,0,0,0,1104,2,2022,39-2,39TH DISTRICT,1,0.08029646286345592
1,1,1,0,0,0,0,1062,0,2022,16-1,HIGHWAY PATROL,0,0.30190141997709713
1,1,1,0,0,0,0,1059,4,2022,16-1,16TH DISTRICT,0,0.1707430781376359
1,1,1,0,0,0,0,1090,5,2022,16-1,16TH DISTRICT,0,0.13304138343397498
0,0,0,0,0,1,0,1152,6,2022,16-1,16TH DISTRICT,0,0.08588287872003969
0,1,0,0,1,0,1,1195,1,2022,16-1,16TH DISTRICT,0,0.32779646286345593
